id,web_name,team,element_type,now_cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,total_points,selected_by_percent,form,points_per_game,value_season,transfers_in,transfers_out,position
62,Brooks,3,3,4.9,722,2,1,2,9,0,0,0,3,0,0,2,166,157.4,208.3,232.0,59.1,43,0.0,1.4,2.0,8.8,8473,6827,MID
63,Christie,3,3,4.9,2057,2,3,8,27,0,0,0,9,0,0,5,420,500.0,537.4,290.0,133.0,75,0.2,3.8,2.7,15.3,49454,51667,MID
64,Cook,3,3,5.0,2391,1,3,4,34,0,0,0,6,0,0,2,422,512.8,616.2,93.0,122.2,68,0.2,1.8,2.4,13.6,57732,55889,MID
65,Enes Ünal,3,4,5.4,330,2,1,2,3,0,0,0,2,0,0,4,97,104.0,56.1,207.0,35.9,32,0.1,0.0,1.9,5.9,46931,47013,FWD
66,Faivre,3,3,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,23,1453,MID
67,H.Traorè,3,3,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3525,19297,MID
68,Hill,3,2,3.9,420,0,1,1,8,0,0,0,1,0,0,0,50,87.2,27.6,29.0,14.5,16,0.6,0.6,1.8,4.1,108833,91474,DEF
69,Jebbison,3,4,4.5,61,0,0,0,1,0,0,0,1,0,0,0,26,20.0,37.0,36.0,9.3,8,1.1,0.6,0.9,1.8,459815,540273,FWD
70,Kerkez,3,2,5.2,2537,2,6,6,36,0,0,0,4,0,0,8,420,567.6,447.6,196.0,121.1,105,18.1,3.0,3.6,20.2,2554056,609220,DEF
71,Kluivert,3,3,6.2,1934,12,6,10,26,0,0,0,6,0,0,14,494,680.4,591.6,692.0,196.6,147,35.1,4.8,5.2,23.7,4938519,1042843,MID
72,Mepham,3,2,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,287,6284,DEF
74,O.Dango,3,3,5.1,1510,7,4,5,17,0,0,0,1,0,0,7,367,543.4,365.1,629.0,153.5,99,4.2,2.6,3.8,19.4,766262,297408,MID
75,Paulsen,3,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,2961,GKP
76,Philip,3,3,4.8,176,0,0,0,4,0,0,0,1,0,0,0,52,54.0,102.4,47.0,20.4,10,0.0,0.0,1.0,2.1,6119,11141,MID
77,Scott,3,3,4.7,371,0,0,1,5,0,0,0,1,0,0,0,71,91.8,96.2,43.0,23.2,15,0.0,0.8,1.2,3.2,2857,6451,MID
78,Semenyo,3,3,5.7,2465,7,5,7,33,0,0,0,9,0,0,7,390,573.2,531.5,998.0,209.5,111,9.0,1.8,4.0,19.5,3166213,2361944,MID
79,Senesi,3,2,4.6,917,0,0,1,15,0,0,0,4,0,0,3,82,221.0,78.7,29.0,33.1,21,0.3,0.0,1.9,4.6,66758,146036,DEF
80,Sinisterra,3,3,4.8,229,1,1,0,4,0,0,0,0,0,0,2,90,112.0,115.3,195.0,42.3,23,0.1,0.8,1.9,4.8,69069,82434,MID
